run,branch,generation,best_idx,Lx,mtow_out,q_g_per_ton_km,K,cx,cy,mz,mx_beta,my_beta,center_mass,alpha_bal,delta_bal,A,L_mission_km,mz_omegaz,m0,p0,V,H,a_x_loc,a_S_rel,a_dihedral_mag,scheme_fuse,scheme_vertical,S_ref_from_m0_p0
qt_avl,duck_2_x,437,5,65.2000303890634,1178.363019316085,65.2000303890634,31.38597514254764,0.01712102292694232,0.53736,-0.00099,-0.000308,-2e-06,2.119713392475977,3.981976232921275,-1.121465455780371,0.5031907981442166,3000.0,-27.18689781089945,1178.363019,56.534464,42.083421,500.0,2.318427,0.796673,2.451981,0.5,0.5,20.843268612222094
qt_avl,duck_3_x,437,8,66.00367005112899,1150.722277402594,66.00367005112899,30.25772270909344,0.01812033262619674,0.54828,-0.00094,-9.999999999999999e-06,-8.000000000000001e-06,2.483020794349254,3.384013769558836,-0.9914673798838394,0.5603990699154866,3000.0,-37.08225366456072,1150.722277,59.900932,42.899437,500.0,2.989718,0.8,2.422877,1.0,0.5,19.210423587399276
qt_mlp,normal_1_1,221,13,57.79465807341558,1159.458065962839,57.79465807341558,34.96103194533841,0.01579187996685505,0.552100419998169,0.0,-1.289960346184671e-05,-0.001851842971518636,0.4178834088995141,6.336356335797964,-2.635664761273074,0.8375294499599663,3000.0,-20.140502499228543,1159.265494,50.692803,39.117376,500.0,3.62056,0.2,48.184066,0.0,0.0,22.868443356742375
qt_mlp,normal_1_2,216,10,64.53961289448021,1193.016838729154,64.53961289448021,32.13674728871313,0.01833680085837841,0.589285135269165,6.938893903907228e-18,-3.905646735802293e-06,-0.0003967138472944498,0.5874692406444959,5.026341617335524,-0.9942201698095605,0.7712313744247322,3000.0,-20.007580174930947,1193.016839,63.610722,42.676511,500.0,3.52324,0.200051,0.0,0.0,0.5,18.754964595434082
qt_mlp,normal_1_3,234,11,58.56665277549259,1170.971117973603,58.56665277549259,34.84093905151813,0.01578547805547714,0.549980878829956,-1.387778780781446e-17,-6.209185812622309e-06,-0.001459648832678795,0.4429593414443009,6.312759680135712,-2.304944167851205,0.8386179105154126,3000.0,-20.120166640902905,1170.909194,48.613062,38.240719,500.0,3.634711,0.200398,44.057225,0.0,1.0,24.086308202515614
qt_mlp,normal_2_1,171,32,57.739870105097275,1172.213202290605,57.73987010509727,35.32828785704957,0.01608799397945404,0.5683612823486328,-1.387778780781446e-17,-0.0008590134093537927,-0.001882043085061014,0.4089028159115403,5.108958033197794,-1.357603423467041,0.846594605347383,3000.0,-20.056884436147246,1172.214049,43.501677,35.971838,500.0,3.644923,0.200332,49.643457,0.5,0.0,26.94641057171198
qt_mlp,normal_2_2,143,29,63.53807911315314,1196.742697119555,63.53807911315314,32.72818453779126,0.01718773506581783,0.562523365020752,-3.144186300207963e-18,-3.089895471930504e-06,-0.0003848460037261248,0.5882980740318173,4.246430360427871,0.009905584699913076,0.7969005782241149,3000.0,-20.30358649846125,1196.762956,53.863517,40.179684,500.0,3.626667,0.200011,0.0,0.5,0.5,22.218433230046973
qt_mlp,normal_2_3,437,2,59.773206037363266,1206.987441829304,59.77320603736327,35.30315052365383,0.01697906106710434,0.5994143486022949,-2.775557561562891e-17,-2.948218025267124e-07,-0.001833066809922457,1.949865294938845,8.13225116925355,-4.598463102066534,0.5759570521247018,3000.0,-20.026902233593617,1207.024016,40.527702,33.666528,500.0,4.100667,0.2,47.041296,0.5,1.0,29.78269076297492
qt_mlp,normal_3_1,159,9,59.22189136008502,1117.19418697717,59.22189136008502,32.79823309867197,0.01634243503212929,0.5360029935836792,6.938893903907228e-18,-1.970474841073155e-06,-0.002170096151530743,0.492636000167738,4.876005495573087,-0.7781788148070111,1.180176188330422,3000.0,-40.48562016676893,1117.23278,59.694486,43.280253,500.0,5.061593,0.200061,46.028229,1.0,0.0,18.715845547275507
qt_mlp,normal_3_2,155,12,63.46697438035459,1147.58992039795,63.46697438035459,31.39531192296243,0.01742585562169552,0.5470901727676392,-2.775557561562891e-17,-6.134388968348503e-06,-0.0005997554399073124,1.120170972750858,3.58927245635553,1.829707872277667,1.19730550746268,3000.0,-49.86139001928385,1147.589962,68.599432,46.221871,500.0,5.759093,0.20025,0.0,1.0,0.5,16.728855160200162
qt_mlp,normal_3_3,118,37,60.430054071059324,1110.770957822908,60.43005407105932,31.94704927699313,0.01757271774113178,0.5613964796066284,1.387778780781446e-17,-0.0001746823982102796,-0.0006608476396650076,0.4700679330615848,4.749935126075877,-0.7992807536399972,0.8321475642868147,3000.0,-20.092331800718387,1110.658295,65.472277,44.144064,500.0,3.631816,0.200256,30.38187,1.0,1.0,16.96379514951038
qt_mlp,duck_1_x,165,15,57.8122364137541,1208.946668430901,57.8122364137541,36.42511752627835,0.01325906813144684,0.4829631149768829,-1.387778780781446e-17,-0.002033785684034228,-6.695277988910675e-05,2.313945110395378,5.624983848369269,-2.198868092152986,0.543322925394235,3000.0,-33.26431378616599,1208.946724,46.045837,39.436912,500.0,2.0,0.799943,7.765401,0.0,0.5,26.255288268513826
qt_mlp,duck_2_x,152,11,56.21562886072239,1194.971933321387,56.21562886072239,37.07184644828447,0.01343078911304474,0.4979041516780853,-2.775557561562891e-17,-0.002057355828583241,-2.020341344177723e-05,2.521257950897658,6.362070905259233,-3.00788491401665,0.5957229755771235,3000.0,-39.89469984352454,1194.97199,45.421088,38.088991,500.0,2.0,0.799703,7.526337,0.5,0.5,26.308748702805183
qt_mlp,duck_3_x,216,7,56.350906153565795,1137.569215431108,56.35090615356579,35.10845300957885,0.01701278612017632,0.5972926020622253,-1.387778780781446e-17,-0.001911469269543886,-0.0004398704040795565,4.936347343120091,4.545727203191739,-0.5932635273097108,1.196866597795354,3000.0,-195.6403898271486,1137.569294,56.401684,39.845386,500.0,6.0,0.799972,7.672123,1.0,0.5,20.169066122210108
mtow_avl,normal_1_1,437,14,1106.5714558582872,1106.571455858287,67.59349545868872,28.33203974033772,0.02109978686599408,0.5978,-0.00097,-1.8e-05,-0.001992,0.6890317775329758,4.333925587514045,4.824580264864414,0.9819729616326822,3000.0,-20.280326752218976,1106.571483,110.0,54.796172,200.252068,3.37063,0.256889,50.0,0.0,0.0,10.059740754545453
mtow_avl,normal_1_2,421,8,1117.0605872691178,1117.060587269118,67.77207586013608,28.55234541397625,0.02095169385654651,0.59822,-0.00094,-8.000000000000001e-06,-0.000292,0.5914772121985992,5.327100010211406,-1.905383567234222,1.102002343018972,3000.0,-20.053946446976358,1117.061188,102.326954,52.852818,201.850249,3.033004,0.291488,0.0,0.0,0.5,10.916587901170203
mtow_avl,normal_1_3,437,13,1106.8589496211803,1106.85894962118,69.44511552630571,27.58425319962303,0.02160798030987279,0.59604,0.00095,-0.000204,-0.00113,0.7096118783420656,4.507477028369887,4.196738780798457,1.129260148224273,3000.0,-20.458962492179758,1106.85895,104.576183,53.573652,200.006184,2.991166,0.312275,40.586544,0.0,1.0,10.584235513740257
mtow_avl,normal_2_1,310,9,1085.2314006615272,1085.231400661527,68.15850572247486,27.59800239506077,0.02172005029274439,0.59943,9e-05,-0.001238,-0.001648,0.2798436363967822,6.056610994381429,-2.199605311413956,1.043602276369762,3000.0,-20.0393983756173,1085.231541,109.828251,54.529583,200.00036,2.935553,0.268663,49.958412,0.5,0.0,9.881169290404161
mtow_avl,normal_2_2,281,16,1113.7460113115053,1113.746011311505,71.82575694347815,26.8575683153938,0.02232071023557258,0.59948,-0.00096,-2.8e-05,-0.000216,0.5997453379445252,5.531021551175566,-1.780893907108164,1.176471774837231,3000.0,-20.00152307606276,1113.746012,110.0,54.730174,200.0,3.014555,0.304677,0.0,0.5,0.5,10.124963745454545
mtow_avl,normal_2_3,310,22,1121.227178308234,1121.227178308234,70.69227509349247,27.52534639472993,0.02174722858763403,0.5986,-0.00078,0.0,-0.0004180000000000001,1.309043465571766,6.974461311209822,-3.329286669329805,0.8306186441588072,3000.0,-20.38597335089184,1121.227179,104.500347,53.446246,200.0,3.829675,0.234826,30.032532,0.5,1.0,10.729411061190063
mtow_avl,normal_3_1,437,1,1112.7009144612728,1112.700914461273,78.6961527973298,24.44169949126982,0.0205849024606374,0.50313,-0.0008,-0.000508,-0.001152,2.003565696230955,3.380636939477464,4.758239586879125,0.9060855744690323,3000.0,-26.513705941203526,1112.717745,100.770828,57.191174,200.0,4.0607,0.287198,40.982809,1.0,0.0,11.04206214322264
mtow_avl,normal_3_2,111,4,1084.0145641782703,1084.01456417827,66.30473221481667,28.35727066001114,0.02090821811127598,0.5929,-0.00099,-8.000000000000001e-06,-9e-05,0.3910770082565402,6.447227427451828,-3.750930377582281,0.9624127970855173,3000.0,-21.653721647979484,1084.034358,110.0,54.998952,200.0,3.996459,0.200089,0.0,1.0,0.5,9.854857800000001
mtow_avl,normal_3_3,191,8,1075.2852159133627,1075.285215913363,67.58614886914765,27.5478361140944,0.02156793722524045,0.59415,0.00091,-0.000344,-0.000256,1.008814618796021,5.122369832515822,3.734169206377099,1.041396802267832,3000.0,-26.75599408954601,1075.285295,110.0,55.003852,200.0,4.949246,0.2,30.0,1.0,1.0,9.775320863636363
mtow_avl,duck_1_x,365,14,1096.990281620329,1096.990281620329,67.30790549018604,28.19932286858377,0.02042815009014899,0.57606,-0.001,-0.00026,-2e-06,1.895863521299192,3.964676777392059,-0.5731920294766121,0.5158063915784243,3000.0,-20.44241864701491,1096.99109,108.364451,55.468396,200.543424,2.000212,0.761783,1.849448,0.0,0.5,10.123163822423647
mtow_avl,duck_2_x,437,0,1095.2120872844225,1095.212087284423,64.22897171752251,29.50562619046079,0.01904721480480544,0.562,-0.001,-0.000264,-4.000000000000001e-06,2.135503180902307,3.737396509141237,-1.028595119168089,0.5002896015650614,3000.0,-26.395521389569737,1095.212088,97.451268,53.261216,202.801764,2.339576,0.789975,2.271198,0.5,0.5,11.238561698345475
mtow_avl,duck_3_x,295,6,1098.2629566011258,1098.262956601126,70.71300293576209,26.85829209487527,0.02217639148073931,0.59562,-0.00091,-0.00013,-6e-06,4.012113280584688,3.161304650454587,2.735412951131825,0.9475158520134435,3000.0,-109.4200813974838,1098.285136,109.966961,54.988939,206.510047,5.135643,0.799257,3.46765,1.0,0.5,9.987410091290965
mtow_mlp,normal_1_1,199,16,1088.4317773814005,1088.4317773814,65.0413735906293,29.06218878562231,0.02064443565905094,0.5999724864959717,0.0,-4.119580262340605e-05,-0.001975645311176777,0.2154607731206793,7.208350075575185,-3.527178852293071,0.9387262763863296,3000.0,-20.013091478332743,1089.169429,104.07259,53.164511,200.0,2.949778,0.244953,49.999309,0.0,0.0,10.465478268581574
mtow_mlp,normal_1_2,281,7,1124.2362361894611,1124.236236189461,71.5107896333435,27.25594482870308,0.02189908735454082,0.596880316734314,-6.938893903907228e-18,-2.249435056000948e-06,-0.0003338423557579517,0.7371536425683849,6.138788001994546,-0.8505911075472165,1.175173401404354,3000.0,-20.14495461132902,1124.236267,108.568148,53.974562,219.113293,3.049945,0.311828,0.0,0.0,0.5,10.355120610512763
mtow_mlp,normal_1_3,199,30,1089.1312618898305,1089.131261889831,65.6726070228714,28.8963857624506,0.02070126496255398,0.5981917381286621,2.775557561562891e-17,-5.583482561632991e-06,-0.001689301105216146,0.3498755755380442,8.9685892636829,-3.875089280713794,1.072100620208398,3000.0,-20.244833546541468,1089.131267,109.303471,54.31219,200.0,2.761587,0.291456,45.94815,0.0,1.0,9.964288023387656
mtow_mlp,normal_2_1,245,11,1083.5927137946298,1083.59271379463,68.08445348026042,27.59273409819644,0.0216888040304184,0.5984534025192261,1.387778780781446e-17,-0.001422961358912289,-0.001727415015920997,0.3584915849873505,6.241306736319904,-1.737819787638504,1.131642954430991,3000.0,-20.07633905531762,1083.592714,110.0,54.815517,200.0,2.769231,0.302175,47.142261,0.5,0.0,9.850842854545453
mtow_mlp,normal_2_2,245,27,1111.9560190421428,1111.956019042143,71.80828566577594,26.8453182379266,0.02231609635055065,0.5990827083587646,-1.387778780781446e-17,-1.24429352581501e-05,-0.0004066976252943277,0.5949001588188672,6.269163387610958,-0.959742781443677,1.040156721101502,3000.0,-20.010557468883448,1111.95602,109.916351,54.154964,206.031416,3.144707,0.272179,0.0,0.5,0.5,10.116384049175723
mtow_mlp,normal_2_3,256,6,1113.5902189731792,1113.590218973179,70.3847241738713,27.4574585194905,0.02182216010987759,0.599181056022644,2.775557561562891e-17,-1.519441138952971e-05,-0.0006500785239040852,1.219816706412182,6.967684098838556,-2.852562540854655,0.9705854274719675,3000.0,-20.169367563334745,1113.590767,108.48927,53.865491,203.703874,3.829267,0.254409,30.53374,0.5,1.0,10.26452447324975
mtow_mlp,normal_3_1,108,9,1061.640829708823,1061.640829708823,63.01146338140257,29.23123605664719,0.02023002132773399,0.5913485288619995,6.938893903907228e-18,-6.656066398136318e-05,-0.001501676859334111,0.4261743284659015,6.52003171960094,-0.6001634535573415,0.9184278693043627,3000.0,-21.116449756882346,1061.643012,108.342929,54.454582,200.0,3.922263,0.2,50.0,1.0,0.0,9.798913706680388
mtow_mlp,normal_3_2,113,22,1080.14095486897,1080.14095486897,65.59290192006102,28.55034338618676,0.02085063979029655,0.5952929258346558,-1.387778780781446e-17,-3.82904545404017e-06,-0.0002185096964240074,0.5729194065385783,5.97120469533246,-1.549184944292894,0.9283258902291881,3000.0,-20.570989259448943,1080.143232,109.845635,54.311868,214.648954,4.047943,0.2,0.0,1.0,0.5,9.833283152307326
mtow_mlp,normal_3_3,115,21,1061.9602493515417,1061.960249351542,63.23404172214708,29.12858714484953,0.02059147134423256,0.5998004674911499,0.0,-5.946896271780133e-05,-0.001451463904231787,0.7159007505361263,6.318415650919726,-2.499477023972253,0.9867717124500441,3000.0,-23.522372297447006,1061.961841,110.0,54.514594,200.0,4.471236,0.2,50.0,1.0,1.0,9.654198554545456
mtow_mlp,duck_1_x,171,13,1094.3309918132236,1094.330991813224,67.75887932585033,28.06681671943146,0.02132351137697697,0.5984830856323242,0.0,-0.002083237515762448,-7.80448317527771e-07,2.341808998604458,7.684183115306559,-4.9834142919441,0.523018278784244,3000.0,-32.670791839326895,1094.330992,105.346373,52.813072,204.048326,2.000267,0.8,7.511911,0.0,0.5,10.387932311632598
mtow_mlp,duck_2_x,169,17,1084.498222286986,1084.498222286986,67.03928844564145,28.15339833198618,0.02103476226329803,0.5922000408172607,5.551115123125783e-17,-0.002692554378882051,-1.666136085987091e-06,3.421955585095355,8.457361793447538,-4.906328405126814,0.7928058703349353,3000.0,-71.56370074542224,1084.49839,105.10377,52.610742,200.925415,2.016807,0.8,7.342978,0.5,0.5,10.318358608830112
mtow_mlp,duck_3_x,130,6,1068.8520121589934,1068.852012158993,60.21197321751053,30.75386896995908,0.01946609281003475,0.5986576676368713,-1.908195823574488e-17,-0.001873509958386421,-0.0002975983079522848,4.935032149575409,5.09112961204584,-0.1310585611857586,1.189370848734493,3000.0,-190.29216999252108,1068.85224,109.936642,54.877852,200.0,5.793537,0.799253,7.877344,1.0,0.5,9.72243849325505
